theme,site,n_obs,n_vfolds,target_variable,rmse,hidden_units,penalty
terrestrial_daily,GUAN,453,10,nee,1.401352017425057,9,0.47698022688498937
terrestrial_daily,HARV,616,10,nee,2.311921259831751,6,2.906333495697059e-9
terrestrial_daily,HEAL,640,10,nee,0.6858512664598451,8,9.76312782581876e-4
terrestrial_daily,JERC,689,10,nee,1.7184414149999157,7,2.3580218413931116e-09
terrestrial_daily,JORN,707,10,nee,0.7240748435990222,7,4.006100056647232e-8
terrestrial_daily,KONA,571,10,nee,2.806449580200657,2,1.6254247036220938e-9
terrestrial_daily,KONZ,662,10,nee,1.6046026488239284,4,2.1821047066741064e-10
terrestrial_daily,LAJA,454,10,nee,2.690831791910356,9,2.03903467389132e-8
terrestrial_daily,LENO,333,10,nee,2.30527518561558,4,2.4142226007646758e-5
terrestrial_daily,MLBS,558,10,nee,1.9079821613311743,3,0.2403354665365465
terrestrial_daily,MOAB,695,10,nee,0.3672168231154474,6,2.2947741623707752e-8
terrestrial_daily,NIWO,512,10,nee,0.5354369125092007,10,0.005659019879847016
terrestrial_daily,NOGP,600,10,nee,0.99356222934585,7,4.900124601661054e-6
terrestrial_daily,OAES,711,10,nee,1.2337756521909218,4,0.15376768958968381
terrestrial_daily,ONAQ,641,10,nee,0.6987577305276659,8,1.1962057721789686e-6
terrestrial_daily,ORNL,675,10,nee,2.5388764405795645,4,1.5722824849085864e-6
terrestrial_daily,OSBS,493,10,nee,0.8913646679772699,7,0.0046305431155237225
terrestrial_daily,PUUM,371,10,nee,1.1298602222897995,9,1.5099924006709256e-5
terrestrial_daily,RMNP,683,10,nee,1.229353503838557,9,6.743742521487975e-9
terrestrial_daily,SCBI,579,10,nee,2.322567947277963,7,0.08760894669519687
terrestrial_daily,SERC,649,10,nee,1.904759641258888,4,1.8150798328579546e-7
terrestrial_daily,SJER,641,10,nee,1.4659538615151293,8,0.0023614574382028117
terrestrial_daily,SOAP,447,10,nee,0.7792911097876909,9,0.013862074326121009
terrestrial_daily,SRER,631,10,nee,0.5172666655579744,9,5.76497633226217e-4
terrestrial_daily,STEI,752,10,nee,1.9452422881560285,9,9.798197833081201e-10
terrestrial_daily,STER,498,10,nee,1.042670993478668,8,0.03431681150810294
terrestrial_daily,TALL,476,10,nee,1.5417875991097392,10,0.003270497368733937
terrestrial_daily,TEAK,521,10,nee,1.2291783603408393,9,3.7566678296468344e-7
terrestrial_daily,TOOL,450,10,nee,0.4949347940708714,5,0.0028925474644310336
terrestrial_daily,TREE,686,10,nee,2.035806866769595,4,0.021713889082206717
terrestrial_daily,UKFS,702,10,nee,1.5471444686204412,10,4.897946978253291e-9
terrestrial_daily,UNDE,669,10,nee,1.7652108807202136,3,2.5168690752739194e-10
terrestrial_daily,WOOD,649,10,nee,1.0906903543443287,10,1.03800620002664e-9
terrestrial_daily,WREF,493,10,nee,2.0952197315439434,9,6.948422299029855e-8
terrestrial_daily,YELL,559,10,nee,0.657373180076924,4,7.200743704006531e-5
terrestrial_daily,ABBY,657,10,le,19.48364525970548,7,1.3491453373279738e-4
terrestrial_daily,BARR,227,10,le,7.290776328356872,7,4.2662923955713086e-5
terrestrial_daily,BART,643,10,le,23.00748933667823,8,1.875300974906445e-5
terrestrial_daily,BLAN,712,10,le,29.03259115745411,6,4.2047694279185304e-8
terrestrial_daily,BONA,579,10,le,8.85585586917082,9,0.5055285700280118
terrestrial_daily,CLBJ,764,10,le,32.38839584615699,5,2.62631859767903e-4
terrestrial_daily,CPER,661,10,le,16.404197806038894,9,3.554224301930028e-7
terrestrial_daily,DCFS,698,10,le,25.345101389979177,7,5.669359707471144e-10
terrestrial_daily,DEJU,610,10,le,10.964420841986598,8,5.153195001847653e-9
