theme,site,n_obs,n_vfolds,target_variable,rmse,mtry,min_n,last_targets_date,importance_surface_downwelling_shortwave_flux_in_air,importance_air_temperature,importance_relative_humidity,importance_surface_downwelling_longwave_flux_in_air,importance_northward_wind,importance_eastward_wind,importance_air_pressure,importance_precipitation_flux
terrestrial_daily,DCFS,619,10,nee,0.49275400530965785,3,6,12/31/2022,140.03526785366648,175.7950106,356.15421206454073,57.662722326682385,71.34055998,134.7849796545326,66.84417894948567,75.35329321301552
terrestrial_daily,DEJU,546,10,nee,0.2162045814756461,3,3,12/31/2022,80.41556557768219,138.35215269056619,89.20468106854136,22.974196329201607,24.502595700384102,46.107461572517686,22.54240936275658,20.30742528764271
terrestrial_daily,DELA,538,10,nee,0.7875992458863135,5,3,12/31/2022,730.0267158383239,2603.150631347016,3422.2856901829914,287.08222136596964,260.2115411472116,320.56512629351687,325.9999020118659,240.46725768771276
terrestrial_daily,DSNY,540,10,nee,0.6524423895568404,2,4,12/31/2022,188.5371268439749,222.8258380137922,302.5254406812485,181.52205221206916,150.55248116114737,253.68204990794382,212.7338343255658,121.74494536587106
terrestrial_daily,GRSM,542,10,nee,1.1431968980662448,4,10,12/31/2022,795.9134651790432,2597.1652654710356,1779.558434313354,247.60586284753762,297.1998990280846,338.0134602296556,483.6095504200679,251.33657174751306
terrestrial_daily,GUAN,400,10,nee,0.47307151402183323,4,3,12/31/2022,108.35411179527877,167.03565471958726,372.6476491983175,209.19743966365672,96.65198724117896,127.27976153306189,140.35265445110664,96.24441175164652
terrestrial_daily,HARV,555,10,nee,0.9718135449579767,5,7,12/31/2022,975.6362745285328,3434.4783955208045,1371.3464322844013,289.3167917452904,259.29199126108415,429.18545804862856,528.1796056,414.1574044109561
terrestrial_daily,HEAL,582,10,nee,0.275398412,3,10,12/31/2022,90.50664546759687,178.79349991044663,59.62196829975626,18.789103787210347,13.972397020592643,38.904449018377015,14.2196079,27.09541137507274
terrestrial_daily,JERC,623,10,nee,0.7287897451502263,3,6,12/31/2022,278.6698171,511.80622272955844,1080.1976330794528,226.8474687289831,210.47613632148912,393.5672805,285.89667085888203,229.1586184320179
terrestrial_daily,JORN,662,10,nee,0.49702166543118537,2,22,12/31/2022,30.62434548541628,36.51245738849354,26.00230056953463,26.285985590206234,30.75693450146267,32.88686153706509,25.035649103891018,28.19206295493348
